salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
112701.25,7990.518625000001,8001.78875,1021.8119999999999,1127.0125,106040.60612499999,130842.381875,9391.770833333334,4382.826388888889,144616.9790972222
113201.25,8025.968625,8037.28875,1021.8119999999999,1132.0125,106511.056125,131418.331875,9433.4375,4402.270833333333,145254.04020833335
113701.25,8061.418625,8072.78875,1021.8119999999999,1137.0125,106981.506125,131994.28187500002,9475.104166666666,4421.715277777777,145891.10131944445
114201.25,8096.868625000001,8108.28875,1021.8119999999999,1142.0125,107451.95612500001,132570.23187500003,9516.770833333334,4441.159722222223,146528.1624305556
114701.25,8132.318625000001,8143.78875,1021.8119999999999,1147.0125,107922.406125,133146.181875,9558.4375,4460.604166666667,147165.22354166667
115201.25,8167.768625000001,8179.28875,1021.8119999999999,1152.0125,108392.85612499999,133722.13187500002,9600.104166666666,4480.048611111111,147802.2846527778
115701.25,8203.218625000001,8214.78875,1021.8119999999999,1157.0125,108863.306125,134298.08187500003,9641.770833333334,4499.493055555556,148439.34576388894
116201.25,8238.668625,8250.28875,1021.8119999999999,1162.0125,109333.756125,134874.03187500002,9683.4375,4518.9375,149076.40687500002
116701.25,8274.118625000001,8285.78875,1021.8119999999999,1167.0125,109804.20612500001,135449.98187500003,9725.104166666666,4538.381944444444,149713.46798611112
117201.25,8309.568625,8321.28875,1021.8119999999999,1172.0125,110274.656125,136025.931875,9766.770833333334,4557.826388888889,150350.52909722223
